"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"TP_SIGNAL_NAME";"VALUE";
"R14";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"4.7k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"10k";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"";"";"5.1k";
"R17";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"";"";"47k";
"SCL";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"SDA";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"U1";"AP63205WU-7";"AP63205WU-7";"SOIC_05WU-7_DIO";"";"";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"AP63205WU-7";"";"Diodes Inc";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TJA1055T_3_2Z";"TJA1055T_3_2Z";"SOIC127P600X175-14N";"CAN Interface IC Enhanced fault-tolerant CAN transceiver";"";"";"";"CAN Interface IC Enhanced fault-tolerant CAN transceiver";"1.75mm";"NXP";"TJA1055T/3/2Z";"";"";"771-TJA1055T/3/2Z";"https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/TJA1055T-3-2Z?qs=qSfuJ%252Bfl%2Fd73Y%2FIsMw3Ayg%3D%3D";"";"";"";"";"";"";"";"";"";
"U3";"MIC5504-3.3YM5-TR";"MIC5504-3.3YM5-TR";"SOT95P280X145-5N";"MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5";"";"";"";"MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5";"1.45mm";"Microchip";"MIC5504-3.3YM5-TR";"";"";"998-MIC5504-3.3YM5TR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MIC5504-3.3YM5-TR?qs=U6T8BxXiZAUmVQ5Zs217qQ%3D%3D";"";"";"";"";"";"";"";"";"";
"U4";"ESP32-S3-WROOM-1-N16R2";"ESP32-S3-WROOM-1-N16R2";"XCVR_ESP32-S3-WROOM-1-N16R2";"Check availability";"In Stock";"https://www.snapeda.com/parts/ESP32S3WROOM1N16R2/Espressif+Systems/view-part/?ref=eda";"";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount ";"";"";"";"Espressif Systems";"";"";"";"ESP32S3WROOM1N16R2";"NON STANDARD Espressif Systems";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=10874217&manufacturer=Espressif Systems&part_name=ESP32S3WROOM1N16R2&search_term=None";"https://www.snapeda.com/parts/ESP32S3WROOM1N16R2/Espressif+Systems/view-part/?ref=snap";"";"";
"U8";"BME280";"BME280";"LGA-8-2.5X2.5";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-13090";"";"";"";"BME280";
"VCC";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"X1";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"SCD-40";"SCD-40";"SCD40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
